,Unnamed: 0,DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,DATES,Prediction_NL,Residual_NL
11975,11976,2020-05-21 10:00:00,4135001,7JYdWkrLSPkdwr4,4277.0,418.2142857,1345.857143,7645855.857000001,28.207800333333303,53.517201866666696,0.70056636,2020-05-21,9479.989969971732,5202.989969971732
11977,11978,2020-05-21 10:00:00,4135001,VHMLBKoKgIrUVDU,4444.714286,434.6,1387.285714,7250457.286,28.207800333333303,53.517201866666696,0.70056636,2020-05-21,9479.989969971732,5035.275683971731
14026,14027,2020-05-22 10:00:00,4135001,McdE0feGgRqW7Ca,2424.571429,237.2428571,1422.142857,7210477.142999999,27.5856627333333,42.0670146666667,0.5426874133333329,2020-05-22,7529.855203251307,5105.2837742513075
14063,14064,2020-05-22 10:15:00,4135001,McdE0feGgRqW7Ca,2467.75,241.3,1437.25,7210492.25,27.8774047333333,42.9675394,0.63854485,2020-05-22,8730.328062028393,6262.578062028393
15917,15918,2020-05-23 09:45:00,4135001,rGa61gmuvPhdLxV,4033.857143,394.12857139999994,1280.857143,7168421.857000001,27.703896500000003,45.23483278571429,0.710976275,2020-05-23,9603.625112187652,5569.767969187652
18486,18487,2020-05-24 15:15:00,4135001,zBIq5rxdHJRwDNY,0.0,0.0,6464.0,6410945.0,33.7613037333333,54.006864266666696,0.476600342,2020-05-24,6673.46252005797,6673.46252005797
20099,20100,2020-05-25 10:15:00,4135001,ih0vzX44oOqAx2f,0.0,0.0,1795.0,6258289.0,29.217750933333303,53.501413799999995,0.8341566393333331,2020-05-25,11020.137639140303,11020.137639140303
34134,34135,2020-06-01 11:30:00,4135001,pkci93gMrogZuBj,7888.285714,771.2857142999999,3098.857143,7297889.857000001,29.817582266666697,54.1207823333333,1.089475536,2020-06-01,13672.437622183621,5784.151908183621
34137,34138,2020-06-01 11:30:00,4135001,uHbuxQJl8lW7ozc,8479.428570999999,828.7,3097.142857,7168450.142999999,29.817582266666697,54.1207823333333,1.089475536,2020-06-01,13672.437622183621,5193.009051183622
46664,46665,2020-06-07 12:15:00,4135001,1BY6WEcLGh8j5v7,1715.0,167.21428569999998,3633.285714,6422115.286,28.748333799999997,59.9877708666667,1.0242290946666701,2020-06-07,13031.674111713432,11316.674111713432
46675,46676,2020-06-07 12:15:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3551.0,6476675.0,28.748333799999997,59.9877708666667,1.0242290946666701,2020-06-07,13031.674111713432,13031.674111713432
46682,46683,2020-06-07 12:15:00,4135001,wCURE6d3bPkepu2,7688.0,749.5857143,3998.714286,6957092.714,28.748333799999997,59.9877708666667,1.0242290946666701,2020-06-07,13031.674111713432,5343.674111713432
46683,46684,2020-06-07 12:15:00,4135001,z9Y9gH1T5YWrNuG,7717.142856999999,752.4142857,3954.714286,7181243.714,28.748333799999997,59.9877708666667,1.0242290946666701,2020-06-07,13031.674111713432,5314.531254713433
46686,46687,2020-06-07 12:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,3634.0,6422116.0,28.884908000000003,59.1491432666667,1.00650392,2020-06-07,12853.161153712304,12853.161153712304
46697,46698,2020-06-07 12:30:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3551.0,6476675.0,28.884908000000003,59.1491432666667,1.00650392,2020-06-07,12853.161153712304,12853.161153712304
46704,46705,2020-06-07 12:30:00,4135001,wCURE6d3bPkepu2,0.0,0.0,4065.0,6957159.0,28.884908000000003,59.1491432666667,1.00650392,2020-06-07,12853.161153712304,12853.161153712304
46705,46706,2020-06-07 12:30:00,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,4021.0,7181310.0,28.884908000000003,59.1491432666667,1.00650392,2020-06-07,12853.161153712304,12853.161153712304
46708,46709,2020-06-07 12:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,3634.0,6422116.0,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,12772.331250410369
46712,46713,2020-06-07 12:45:00,4135001,McdE0feGgRqW7Ca,3770.142857,367.5857143,4639.571429,7335799.571,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,9002.188393410368
46719,46720,2020-06-07 12:45:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3551.0,6476675.0,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,12772.331250410369
46724,46725,2020-06-07 12:45:00,4135001,sjndEbLyjtCKgGv,1897.5714289999999,185.0142857,4520.0,7190176.0,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,10874.75982141037
